geocode,etiqueta,granularidad,gcd_iata,gcd_icao,longitud,latitud,geohash
CY_LCEN,Aeropuerto Internacional Ercan,AEROPUERTOS,ECN,LCEN,33.496101,35.154701,swpzfpxngx
CY_LCLK,Aeropuerto Internacional Larnaca,AEROPUERTOS,LCA,LCLK,33.624901,34.875099,swpymhufhv
CY_LCPH,Aeropuerto Internacional Paphos,AEROPUERTOS,PFO,LCPH,32.485699,34.717999,swpje0pr58
CY_LCRA,Base Aérea de Akrotiri,AEROPUERTOS,AKT,LCRA,32.9879,34.590401,swpky8vp9y
CZ_LKKB,Base Aérea de Kbely,AEROPUERTOS,,LKKB,14.5436,50.121399,u2fm4uq663
CZ_LKKU,Aeropuerto de Kunovice,AEROPUERTOS,UHE,LKKU,17.439699,49.0294,u2squve0yq
CZ_LKKV,Aeropuerto Internacional Karlovy Vary,AEROPUERTOS,KLV,LKKV,12.915,50.202999,u2cjtghmtm
CZ_LKLT,Aeropuerto de Letnany,AEROPUERTOS,,LKLT,14.5256,50.131401,u2fm4w1hx4
CZ_LKMH,Aeropuerto de Mnichovo Hradište,AEROPUERTOS,,LKMH,15.0066,50.540199,u2fxt2x3zp
CZ_LKMT,Aeropuerto de Ostrava Leos Janácek,AEROPUERTOS,OSR,LKMT,18.111099,49.696301,u2ufsnujgj
CZ_LKPD,Aeropuerto de Pardubice,AEROPUERTOS,PED,LKPD,15.7386,50.013401,u2ghw0smpv
CZ_LKPR,Aeropuerto de Václav Havel Prague,AEROPUERTOS,PRG,LKPR,14.26,50.1008,u2fjh2xf64
CZ_LKTB,Aeropuerto de Brno-Turany,AEROPUERTOS,BRQ,LKTB,16.694401,49.151299,u2ezegsrpd
CZ_LKVO,Aeropuerto de Vodochody,AEROPUERTOS,VOD,LKVO,14.3958,50.216599,u2fjxtdsyk
CZ_LKZA,Aeropuerto de Zabreh Ostrava,AEROPUERTOS,ZBE,LKZA,18.0783,49.928299,u2uu53hjqv
DE_EDAC,Aeropuerto de Altenburg-Nobitz,AEROPUERTOS,AOC,EDAC,12.506389,50.981945,u30fh8fz7g
DE_EDAH,Aeropuerto de Heringsdorf,AEROPUERTOS,HDF,EDAH,14.1523,53.8787,u3d4d036hm
DE_EDAM,Aeropuerto de Merseburg,AEROPUERTOS,,EDAM,11.940833,51.363056,u30kpwr53x
DE_EDBA,Aeropuerto de Arnstadt-Alkersleben,AEROPUERTOS,,EDBA,11.069444,50.841667,u1pc5zkw0t
DE_EDBC,Aeropuerto de Cochstedt,AEROPUERTOS,CSO,EDBC,11.4203,51.8564,u30p5bhj2m
DE_EDBF,Aeropuerto de Ruppiner Land,AEROPUERTOS,,EDBF,12.760278,52.793331,u33h66ez2n
DE_EDBH,Aeropuerto de Barth,AEROPUERTOS,BBH,EDBH,12.710515,54.338253,u39j15zx22
DE_EDBM,Aeropuerto de Magdeburg-City,AEROPUERTOS,ZMG,EDBM,11.626389,52.073612,u3220xdnf2
DE_EDBN,Aeropuerto de Neubrandenburg,AEROPUERTOS,FNB,EDBN,13.306,53.6022,u392yvcpkq
DE_EDCD,Aeropuerto de Cottbus-Drewitz,AEROPUERTOS,CBU,EDCD,14.531944,51.889442,u34r4wjvfv
DE_EDCG,Aeropuerto de Rügen,AEROPUERTOS,GTI,EDCG,13.325556,54.383331,u39mrhpmgg
DE_EDDB,Aeropuerto Internacional Berlin Brandenburg,AEROPUERTOS,BER,EDDB,13.5225,52.380001,u339gxqz95
DE_EDDB,Aeropuerto Internacional Berlin-Schönefeld,AEROPUERTOS,SXF,EDDB,13.5225,52.380001,u339gxqz95
DE_EDDC,Aeropuerto de Dresden,AEROPUERTOS,DRS,EDDC,13.7672,51.132801,u31fck2yph
DE_EDDE,Aeropuerto de Erfurt,AEROPUERTOS,ERF,EDDE,10.9581,50.979801,u1pf12e6y5
DE_EDDF,Aeropuerto de Frankfurt am Main,AEROPUERTOS,FRA,EDDF,8.570556,50.033333,u0yheh2ck3
DE_EDDG,Aeropuerto de Münster Osnabrück,AEROPUERTOS,FMO,EDDG,7.68483,52.134602,u1m2wfgfjd
DE_EDDH,Aeropuerto de Hamburg,AEROPUERTOS,HAM,EDDH,9.98823,53.630402,u1x15715wx
DE_EDDI,Aeropuerto Internacional Berlin-Tempelhof,AEROPUERTOS,THF,EDDI,13.4039,52.473,u33d902mms
DE_EDDK,Aeropuerto de Cologne Bonn,AEROPUERTOS,CGN,EDDK,7.14274,50.865898,u1j16ec5mf
DE_EDDL,Aeropuerto de Düsseldorf,AEROPUERTOS,DUS,EDDL,6.76678,51.289501,u1hgcbzqvr
DE_EDDM,Aeropuerto de Munich,AEROPUERTOS,MUC,EDDM,11.7861,48.353802,u287h4w3k4
DE_EDDN,Aeropuerto de Nuremberg,AEROPUERTOS,NUE,EDDN,11.078056,49.498699,u0zcs4fyc6
DE_EDDP,Aeropuerto de Leipzig/Halle,AEROPUERTOS,LEJ,EDDP,12.236389,51.423889,u30sw3qmbe
DE_EDDR,Aeropuerto de Saarbrücken,AEROPUERTOS,SCN,EDDR,7.10951,49.2146,u0tpcz0zzd
DE_EDDS,Aeropuerto de Stuttgart,AEROPUERTOS,STR,EDDS,9.22196,48.689899,u0wsczeppp
DE_EDDT,Aeropuerto de Berlin-Tegel,AEROPUERTOS,TXL,EDDT,13.2877,52.5597,u337n25y3y
DE_EDDV,Aeropuerto de Hannover,AEROPUERTOS,HAJ,EDDV,9.68508,52.461102,u1qfkqk2nd
DE_EDDW,Aeropuerto de Bremen,AEROPUERTOS,BRE,EDDW,8.78667,53.047501,u1qjzcn206
DE_EDFE,Aeropuerto de Frankfurt-Egelsbach,AEROPUERTOS,QEF,EDFE,8.645833,49.959999,u0yhhwzwnd
DE_EDFH,Aeropuerto de Frankfurt-Hahn,AEROPUERTOS,HHN,EDFH,7.26389,49.9487,u0vhjkckkb
DE_EDFM,Aeropuerto de Mannheim-City,AEROPUERTOS,MHG,EDFM,8.514167,49.473057,u0y13wrc6q
DE_EDFQ,Aeropuerto de Allendorf/Eder,AEROPUERTOS,,EDFQ,8.680833,51.035,u1n4md9hqj
DE_EDFV,Aeropuerto de Worms,AEROPUERTOS,,EDFV,8.368333,49.606945,u0vfnqttkk
DE_EDFZ,Aeropuerto de Mainz-Finthen,AEROPUERTOS,,EDFZ,8.147222,49.967499,u0vu32k9u0
DE_EDGE,Aeropuerto de Eisenach-Kindel,AEROPUERTOS,EIB,EDGE,10.47973,50.991604,u1p6n6xpe7
DE_EDGS,Aeropuerto de Siegerland,AEROPUERTOS,SGE,EDGS,8.08297,50.707699,u1j8rzjcfb
DE_EDHE,Aeropuerto de Uetersen/Heist,AEROPUERTOS,,EDHE,9.704167,53.646389,u1wchy42g7
DE_EDHI,Aeropuerto de Hamburg-Finkenwerder,AEROPUERTOS,XFW,EDHI,9.835556,53.535278,u1wbxcf195
DE_EDHK,Aeropuerto de Kiel-Holtenau,AEROPUERTOS,KEL,EDHK,10.145278,54.379444,u1xjqg7x4p
DE_EDHL,Aeropuerto de Lübeck Blankensee,AEROPUERTOS,LBC,EDHL,10.7192,53.805401,u1xd5fvrpm
DE_EDHN,Aeropuerto de Neumünster,AEROPUERTOS,EUM,EDHN,9.941389,54.079445,u1x5dhz5e5
DE_EDJA,Aeropuerto de Memmingen Allgau,AEROPUERTOS,FMM,EDJA,10.2395,47.9888,u0x31005j8
DE_EDKA,Aeropuerto de Aachen-Merzbrück,AEROPUERTOS,AAH,EDKA,6.186389,50.823055,u1h3hu0cc2
DE_EDKB,Aeropuerto de Bonn-Hangelar,AEROPUERTOS,BNJ,EDKB,7.163333,50.76889,u1j0g40njz
DE_EDLE,Aeropuerto de Essen Mulheim,AEROPUERTOS,ESS,EDLE,6.93733,51.402302,u1humve85e
DE_EDLF,Aeropuerto de Grefrath-Niershorst,AEROPUERTOS,,EDLF,6.359444,51.333889,u1hs09nc9f
DE_EDLG,Aeropuerto de Goch-Asperden,AEROPUERTOS,,EDLG,6.104167,51.690834,u1hq4fhbvm
DE_EDLN,Aeropuerto de Mönchengladbach,AEROPUERTOS,MGL,EDLN,6.504444,51.230278,u1hekn0mux
DE_EDLP,Aeropuerto de Paderborn Lippstadt,AEROPUERTOS,PAD,EDLP,8.61632,51.614101,u1njsh41yv
DE_EDLT,Aeropuerto de Münster-Telgte,AEROPUERTOS,,EDLT,7.773889,51.944443,u1jx8bhy2d
DE_EDLV,Aeropuerto de Weeze,AEROPUERTOS,NRN,EDLV,6.14217,51.602402,u1hmecbtfb
DE_EDLW,Aeropuerto de Dortmund,AEROPUERTOS,DTM,EDLW,7.61224,51.518299,u1jmj4x5f5
DE_EDLX,Aeropuerto de Wesel-Römerwardt,AEROPUERTOS,,EDLX,6.595833,51.662777,u1htyhfvqp
DE_EDMA,Aeropuerto de Augsburg,AEROPUERTOS,AGB,EDMA,10.931667,48.425278,u0xg2z81wq
DE_EDML,Aeropuerto de Landshut,AEROPUERTOS,,EDML,12.033333,48.511665,u28ecz62uv
DE_EDMO,Aeropuerto de Oberpfaffenhofen,AEROPUERTOS,OBF,EDMO,11.2831,48.081402,u2818bbn7q
DE_EDMS,Aeropuerto de Straubing,AEROPUERTOS,RBM,EDMS,12.516667,48.900833,u28yhy47gr
DE_EDMU,Aeropuerto de Gundelfingen,AEROPUERTOS,,EDMU,10.358889,48.569443,u0xk79z1e8
DE_EDNL,Aeropuerto de Leutkirch-Unterzeil,AEROPUERTOS,,EDNL,10.014167,47.858891,u0x07bkn5p
DE_EDNM,Aeropuerto de Nittenau-Bruck,AEROPUERTOS,,EDNM,12.296667,49.2225,u2b8pbdjv5
DE_EDNY,Aeropuerto de Friedrichshafen,AEROPUERTOS,FDH,EDNY,9.51149,47.671299,u0qz0qq13y
DE_EDOG,Aeropuerto de Torgau-Beilrode,AEROPUERTOS,,EDOG,13.051641,51.570907,u31m2upym3
DE_EDOP,Aeropuerto de Schwerin Parchim,AEROPUERTOS,SZW,EDOP,11.7834,53.426998,u32runh6v4
DE_EDOR,Aeropuerto de Stölln-Rhinow,AEROPUERTOS,,EDOR,12.39,52.740833,u32u1cnjeg
DE_EDQC,Aeropuerto de Coburg-Brandensteinsebene,AEROPUERTOS,,EDQC,10.995556,50.262501,u0zvfnn8r1
DE_EDQD,Aeropuerto de Bayreuth,AEROPUERTOS,BYU,EDQD,11.64,49.985001,u2bk2g7zxx
DE_EDQG,Aeropuerto de Giebelstadt,AEROPUERTOS,GHF,EDQG,9.966389,49.648056,u0z46y1kcs
